gene,logFC_base,pvalue_base,padj_base,logFC_immune_adj,pvalue_immune_adj,padj_immune_adj,symbol,hit_partition,sig_base,sig_immune_adj,delta_log10_p
ENSG00000150893.11,0.660069526964455,0.000908864750667781,0.138970850037401,0.571373721186171,0.00302897494255956,0.305594939602813,FREM2,candidate_tumour_intrinsic,FALSE,FALSE,-0.522796420501575
ENSG00000150907.10,-0.0132440539912376,0.556195972248692,0.847455028789837,-0.0199832641288707,0.3682288052684,0.790861252069254,FOXO1,candidate_tumour_intrinsic,FALSE,FALSE,0.179110080695497
ENSG00000150938.10,0.0141659077236996,0.640809833087397,0.881242861170551,0.00782341461772454,0.78810682701623,0.951027571857311,CRIM1,candidate_tumour_intrinsic,FALSE,FALSE,-0.0898559223388835
ENSG00000150961.15,0.00879315391318163,0.617324467316977,0.872081008200695,0.00435040016710438,0.800353063052957,0.954807248092709,SEC24D,candidate_tumour_intrinsic,FALSE,FALSE,-0.112768121047914
ENSG00000150967.18,0.0828036059803954,0.0103916254408645,0.249608163309332,0.0846953591310679,0.00941673578687132,0.355738334360355,ABCB9,candidate_tumour_intrinsic,FALSE,FALSE,0.0427830992632809
ENSG00000150977.10,-0.0222664410258599,0.204290382088042,0.612237441731504,-0.0331189166307356,0.0321888443731371,0.459641860333117,RILPL2,candidate_tumour_intrinsic,FALSE,FALSE,0.802542535543221
ENSG00000150990.8,-0.0042500389645555,0.713978612622831,0.907180044793388,-0.00203780979757592,0.860651667802879,0.96935046772422,DHX37,candidate_tumour_intrinsic,FALSE,FALSE,-0.0811422120919472
ENSG00000150991.15,-0.0128065869713924,0.242895764648746,0.648116212014726,-0.0152075966293474,0.159407124528227,0.638478585484478,UBC,candidate_tumour_intrinsic,FALSE,FALSE,0.182912214304101
ENSG00000150995.20,0.0220701747741309,0.418325841797154,0.777564596315718,0.00117189965578426,0.960934601606017,0.991826754225633,ITPR1,candidate_tumour_intrinsic,FALSE,FALSE,-0.361179138205622
ENSG00000151006.7,0.068554133414161,0.473709837750702,0.808480205331297,0.0667412258826259,0.469477433780686,0.840145859480986,PRSS53,candidate_tumour_intrinsic,FALSE,FALSE,0.0038976820034195
ENSG00000151012.13,0.0808330049123133,0.331124700284779,0.718442853734659,0.0640718414078667,0.42260294718344,0.819285662022504,SLC7A11,candidate_tumour_intrinsic,FALSE,FALSE,-0.105940943238856
ENSG00000151014.6,-0.020914137700888,0.572834221028254,0.854394966777693,-0.0404109585364442,0.251830319871368,0.714079366586744,NOCT,candidate_tumour_intrinsic,FALSE,FALSE,0.35692093764573
ENSG00000151023.17,0.0987736530581886,0.295705813723892,0.69141222143512,0.0872433768250081,0.357690834743109,0.786700767503938,ENKUR,candidate_tumour_intrinsic,FALSE,FALSE,-0.0826479491320854
ENSG00000151025.11,0.0584309181704937,0.650843271028044,0.885369662449085,0.0839010729188806,0.517646667094288,0.858639792031543,GPR158,candidate_tumour_intrinsic,FALSE,FALSE,0.0994429969823664
ENSG00000151062.15,0.0377678056452183,0.344084200636278,0.726949021948515,0.0348416449041883,0.360656263164758,0.787704986886054,CACNA2D4,candidate_tumour_intrinsic,FALSE,FALSE,-0.020428747042724
ENSG00000151065.14,0.0140194222263932,0.280082402416631,0.678899022026233,0.017371136319324,0.17534986752271,0.652848323178136,DCP1B,candidate_tumour_intrinsic,FALSE,FALSE,0.203380380842092
ENSG00000151067.22,0.0852564842147466,0.0580060982172886,0.417289264845111,0.0499848671787611,0.219740369864658,0.689836287656819,CACNA1C,candidate_tumour_intrinsic,FALSE,FALSE,-0.578436197567345
ENSG00000151090.20,0.010400082890923,0.600270163969494,0.865083355991431,0.0153772432004591,0.433271299748615,0.824184094585059,THRB,candidate_tumour_intrinsic,FALSE,FALSE,0.141586835613728
ENSG00000151092.18,0.00152978763692502,0.873520768544749,0.963531020504474,0.00240966307444783,0.802692105904571,0.955198840301232,NGLY1,candidate_tumour_intrinsic,FALSE,FALSE,0.0367242431676671
ENSG00000151093.8,-0.0228568527323067,0.0867320991274821,0.470026787334637,-0.0214061098305624,0.109454993434577,0.580118061015821,OXSM,candidate_tumour_intrinsic,FALSE,FALSE,-0.10105572175919
ENSG00000151116.17,0.029460802893313,0.00475453542483446,0.200869216417121,0.0293456855258678,0.0053873320425287,0.327094929612094,UEVLD,candidate_tumour_intrinsic,FALSE,FALSE,-0.0542656560891248
ENSG00000151117.9,0.00972902979603907,0.693309445215502,0.899959613344378,-0.00750742054300053,0.739022479115078,0.937111464034699,TMEM86A,candidate_tumour_intrinsic,FALSE,FALSE,-0.027730531892432
